Unnamed: 0,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,891,0,2,0,348,0,0,0.0,0.0,284,64,174.0,155.5634919,390572.3906,2244.668911,891.0,0.0,891,891,0,0.0,0.0,0,0,891,891.0,0.0,891,891,0,0,16,0.0,2244.668911,64,284,137.3333333,127.0170592,16133.33333,0,0,0,0,0,206.0,0.0,174.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
1,20835,0,2,0,266,0,0,0.0,0.0,232,34,133.0,140.0071427,12766.97864,95.99232061,20835.0,0.0,20835,20835,0,0.0,0.0,0,0,20835,20835.0,0.0,20835,20835,0,0,16,0.0,95.99232061,34,232,100.0,114.3153533,13068.0,0,0,0,0,0,150.0,0.0,133.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
2,545,0,2,0,442,0,0,0.0,0.0,409,33,221.0,265.8721497,811009.1743,3669.724771,545.0,0.0,545,545,0,0.0,0.0,0,0,545,545.0,0.0,545,545,0,0,16,0.0,3669.724771,33,409,158.3333333,217.0837012,47125.33333,0,0,0,0,0,237.5,0.0,221.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
3,83892,0,2,0,194,0,0,0.0,0.0,160,34,97.0,89.09545443,2312.49702,23.84017546,83892.0,0.0,83892,83892,0,0.0,0.0,0,0,83892,83892.0,0.0,83892,83892,0,0,16,0.0,23.84017546,34,160,76.0,72.74613392,5292.0,0,0,0,0,0,114.0,0.0,97.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
4,608,0,2,0,480,0,0,0.0,0.0,442,38,240.0,285.6711396,789473.6842,3289.473684,608.0,0.0,608,608,0,0.0,0.0,0,0,608,608.0,0.0,608,608,0,0,16,0.0,3289.473684,38,442,172.6666667,233.2495088,54405.33333,0,0,0,0,0,259.0,0.0,240.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
5,43643,0,2,0,194,0,0,0.0,0.0,160,34,97.0,89.09545443,4445.157299,45.82636391,43643.0,0.0,43643,43643,0,0.0,0.0,0,0,43643,43643.0,0.0,43643,43643,0,0,16,0.0,45.82636391,34,160,76.0,72.74613392,5292.0,0,0,0,0,0,114.0,0.0,97.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
6,10309,0,2,0,348,0,0,0.0,0.0,284,64,174.0,155.5634919,33756.91144,194.0052381,10309.0,0.0,10309,10309,0,0.0,0.0,0,0,10309,10309.0,0.0,10309,10309,0,0,16,0.0,194.0052381,64,284,137.3333333,127.0170592,16133.33333,0,0,0,0,0,206.0,0.0,174.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
7,250437,0,2,0,376,0,0,0.0,0.0,337,39,188.0,210.7178208,1501.375595,7.986040401,250437.0,0.0,250437,250437,0,0.0,0.0,0,0,250437,250437.0,0.0,250437,250437,0,0,16,0.0,7.986040401,39,337,138.3333333,172.0503802,29601.33333,0,0,0,0,0,207.5,0.0,188.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
8,28335,0,2,0,537,0,0,0.0,0.0,502,35,268.5,330.2188668,18951.82636,70.58408329,28335.0,0.0,28335,28335,0,0.0,0.0,0,0,28335,28335.0,0.0,28335,28335,0,0,16,0.0,70.58408329,35,502,190.6666667,269.6225757,72696.33333,0,0,0,0,0,286.0,0.0,268.5,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
9,63832,0,2,0,244,0,0,0.0,0.0,208,36,122.0,121.6223664,3822.534152,31.33224715,63832.0,0.0,63832,63832,0,0.0,0.0,0,0,63832,63832.0,0.0,63832,63832,0,0,16,0.0,31.33224715,36,208,93.33333333,99.3042463,9861.333333,0,0,0,0,0,140.0,0.0,122.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
10,339,0,2,0,214,0,0,0.0,0.0,172,42,107.0,91.92388155,631268.4366,5899.705015,339.0,0.0,339,339,0,0.0,0.0,0,0,339,339.0,0.0,339,339,0,0,16,0.0,5899.705015,42,172,85.33333333,75.05553499,5633.333333,0,0,0,0,0,128.0,0.0,107.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
11,15827,0,2,0,175,0,0,0.0,0.0,141,34,87.5,75.66042559,11057.0544,126.366336,15827.0,0.0,15827,15827,0,0.0,0.0,0,0,15827,15827.0,0.0,15827,15827,0,0,16,0.0,126.366336,34,141,69.66666667,61.7764788,3816.333333,0,0,0,0,0,104.5,0.0,87.5,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
12,883659,0,2,0,194,0,0,0.0,0.0,160,34,97.0,89.09545443,219.541701,2.263316506,883659.0,0.0,883659,883659,0,0.0,0.0,0,0,883659,883659.0,0.0,883659,883659,0,0,16,0.0,2.263316506,34,160,76.0,72.74613392,5292.0,0,0,0,0,0,114.0,0.0,97.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
13,569,0,2,0,442,0,0,0.0,0.0,409,33,221.0,265.8721497,776801.406,3514.938489,569.0,0.0,569,569,0,0.0,0.0,0,0,569,569.0,0.0,569,569,0,0,16,0.0,3514.938489,33,409,158.3333333,217.0837012,47125.33333,0,0,0,0,0,237.5,0.0,221.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
14,495,0,2,0,120,0,0,0.0,0.0,85,35,60.0,35.35533906,242424.2424,4040.40404,495.0,0.0,495,495,0,0.0,0.0,0,0,495,495.0,0.0,495,495,0,0,16,0.0,4040.40404,35,85,51.66666667,28.86751346,833.3333333,0,0,0,0,0,77.5,0.0,60.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
15,103869,0,2,0,403,0,0,0.0,0.0,360,43,201.5,224.1528496,3879.887166,19.25502315,103869.0,0.0,103869,103869,0,0.0,0.0,0,0,103869,103869.0,0.0,103869,103869,0,0,16,0.0,19.25502315,43,360,148.6666667,183.0200353,33496.33333,0,0,0,0,0,223.0,0.0,201.5,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
16,39406,0,2,0,194,0,0,0.0,0.0,160,34,97.0,89.09545443,4923.108156,50.75369233,39406.0,0.0,39406,39406,0,0.0,0.0,0,0,39406,39406.0,0.0,39406,39406,0,0,16,0.0,50.75369233,34,160,76.0,72.74613392,5292.0,0,0,0,0,0,114.0,0.0,97.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
17,118294,0,2,0,264,0,0,0.0,0.0,236,28,132.0,147.0782105,2231.727729,16.90702825,118294.0,0.0,118294,118294,0,0.0,0.0,0,0,118294,118294.0,0.0,118294,118294,0,0,16,0.0,16.90702825,28,236,97.33333333,120.088856,14421.33333,0,0,0,0,0,146.0,0.0,132.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
18,20361,0,2,0,438,0,0,0.0,0.0,400,38,219.0,255.9726548,21511.71357,98.2270026,20361.0,0.0,20361,20361,0,0.0,0.0,0,0,20361,20361.0,0.0,20361,20361,0,0,16,0.0,98.2270026,38,400,158.6666667,209.0007974,43681.33333,0,0,0,0,0,238.0,0.0,219.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
19,1114630,0,2,0,225,0,0,0.0,0.0,193,32,112.5,113.8441918,201.8607071,1.794317397,1114630.0,0.0,1114630,1114630,0,0.0,0.0,0,0,1114630,1114630.0,0.0,1114630,1114630,0,0,16,0.0,1.794317397,32,193,85.66666667,92.95339334,8640.333333,0,0,0,0,0,128.5,0.0,112.5,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
