Unnamed: 0,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
38402,36040291,1,5,154,494,154,154,154.0,0.0,145,49,98.8,48.16845441,17.97987702,0.166480343,7208058.2,15910905.94,35669830,10,0,0.0,0.0,0,0,36040291,9010072.75,17921912.42,35892739,10,0,8,40,0.027746724,0.138733619,49,154,107.7142857,44.3911188,1970.571429,0,0,0,0,5,125.6666667,154.0,98.8,-1,1,147542.0,0.0,147542,147542,35669830.0,0.0,35669830,35669830,1
38403,142031,0,3,0,699,0,0,0.0,0.0,298,103,233.0,112.5833025,4921.460808,21.12214939,71015.5,100415.5269,142020,11,0,0.0,0.0,0,0,142031,71015.5,100415.5269,142020,11,0,0,24,0.0,21.12214939,103,298,200.5,112.5833025,12675.0,0,0,0,0,0,267.3333333,0.0,233.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,1
38404,111304,0,3,0,699,0,0,0.0,0.0,298,103,233.0,112.5833025,6280.09775,26.95320923,55652.0,78689.67104,111294,10,0,0.0,0.0,0,0,111304,55652.0,78689.67104,111294,10,0,0,24,0.0,26.95320923,103,298,200.5,112.5833025,12675.0,0,0,0,0,0,267.3333333,0.0,233.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,1
38405,182343,0,3,0,380,0,0,0.0,0.0,137,106,126.6666667,17.89785834,2083.984579,16.45250983,91171.5,128913.3444,182327,16,0,0.0,0.0,0,0,182343,91171.5,128913.3444,182327,16,0,0,24,0.0,16.45250983,106,137,121.5,17.89785834,320.3333333,0,0,0,0,0,162.0,0.0,126.6666667,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,1
38406,31696549,1,5,162,800,162,162,162.0,0.0,298,49,160.0,128.1073768,30.35030722,0.189295055,6339309.8,13971306.15,31331067,8,0,0.0,0.0,0,0,31696549,7924137.25,15658246.46,31410637,8,0,8,40,0.031549176,0.15774588,49,298,152.5714286,106.5987135,11363.28571,0,0,0,0,5,178.0,162.0,160.0,-1,1,285904.0,0.0,285904,285904,31331067.0,0.0,31331067,31331067,1
38407,101456905,2,1,202,101,101,101,101.0,0.0,101,101,101.0,0.0,2.986489682,0.029569205,50728452.5,27753039.6,70352815,31104090,31104090,31104090.0,0.0,31104090,31104090,0,0.0,0.0,0,0,0,16,8,0.019712803,0.009856402,101,101,101.0,0.0,0.0,0,0,0,0,0,134.6666667,101.0,101.0,-1,2,0.0,0.0,0,0,50728452.5,27753039.6,70352815,31104090,1
38408,50624062,3,3,222,461,98,62,74.0,20.78460969,291,72,153.6666667,119.6425231,13.491608,0.118520715,10124812.4,22567249.6,50494294,8,50560772,25280386.0,35751853.43,50560764,8,50624062,25312031.0,35702603.44,50557584,66478,0,24,24,0.059260357,0.059260357,62,291,111.5714286,80.85760559,6537.952381,0,0,0,0,1,130.1666667,74.0,153.6666667,-1,3,66478.0,0.0,66478,66478,50494294.0,0.0,50494294,50494294,1
38409,31118312,1,5,154,542,154,154,154.0,0.0,169,49,108.4,60.01499813,22.36625174,0.192812515,6223662.4,13808569.54,30925018,11,0,0.0,0.0,0,0,31118312,7779578.0,15508292.4,31041954,11,0,8,40,0.032135419,0.160677096,49,169,114.5714286,52.00274718,2704.285714,0,0,0,0,5,133.6666667,154.0,108.4,-1,1,76347.0,0.0,76347,76347,30925018.0,0.0,30925018,30925018,1
38410,297796,1,2,72,124,72,72,72.0,0.0,62,62,62.0,0.0,658.1686792,10.0740104,148898.0,210558.0147,297785,11,0,0.0,0.0,0,0,11,11.0,0.0,11,11,0,8,16,3.358003465,6.716006931,62,72,64.5,5.0,25.0,0,0,0,0,2,86.0,72.0,62.0,-1,1,0.0,0.0,0,0,0.0,0.0,0,0,1
38411,254839,0,3,0,705,0,0,0.0,0.0,302,101,235.0,116.0474041,2766.452545,11.77213849,127419.5,180181.4144,254827,12,0,0.0,0.0,0,0,254839,127419.5,180181.4144,254827,12,0,0,24,0.0,11.77213849,101,302,201.5,116.0474041,13467.0,0,0,0,0,0,268.6666667,0.0,235.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,1
